interaction,interactionDelta,intent,intentSuccess,stepDelta,step,stepDuration,totalDuration,highlightIngredients,group,interface,recipe,timestamp,session,_id
"nextClick",507,"nextStep",true,1,4,8228,141015,true,2,"sbs","eggs","2014-12-07T18:11:04.579Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498387f671a49094b48c0)
"prevClick",1972,"prevStep",true,-1,5,1972,142987,true,2,"sbs","eggs","2014-12-07T18:11:06.551Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484983a7f671a49094b48c1)
"nextClick",1317,"nextStep",true,1,4,1317,144304,true,2,"sbs","eggs","2014-12-07T18:11:07.868Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484983c7f671a49094b48c2)
"prevClick",1189,"prevStep",true,-1,5,1189,145493,true,2,"sbs","eggs","2014-12-07T18:11:09.057Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484983d7f671a49094b48c3)
"prevClick",199,"prevStep",true,-1,4,199,145692,true,2,"sbs","eggs","2014-12-07T18:11:09.256Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484983d7f671a49094b48c4)
"prevClick",176,"prevStep",true,-1,3,176,145868,true,2,"sbs","eggs","2014-12-07T18:11:09.432Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484983e7f671a49094b48c5)
"prevClick",200,"prevStep",true,-1,2,200,146068,true,2,"sbs","eggs","2014-12-07T18:11:09.632Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484983e7f671a49094b48c6)
"unknownClick",4101,"unknown",false,0,1,4101,150169,true,2,"sbs","eggs","2014-12-07T18:11:13.733Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498417f671a49094b48c7)
"unknownClick",555,"unknown",false,0,1,4656,150724,true,2,"sbs","eggs","2014-12-07T18:11:14.288Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498427f671a49094b48c8)
"unknownClick",591,"unknown",false,0,1,5247,151315,true,2,"sbs","eggs","2014-12-07T18:11:14.879Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498427f671a49094b48c9)
"nextClick",579,"nextStep",true,1,1,5826,151894,true,2,"sbs","eggs","2014-12-07T18:11:15.458Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498437f671a49094b48ca)
"startClick",20851,"start",false,1,0,20851,20851,,3,"responsive","eggs","2014-12-07T18:33:28.757Z","5511517ce047964b623ec6906885690eeacbda56",ObjectID(54849d787f671a49094b48ce)
"unknownClick",1809316,"unknown",false,0,2,1809316,1961210,true,2,"sbs","eggs","2014-12-07T18:41:24.774Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f557f671a49094b48cf)
"rightKey",329,"nextStep",true,1,2,1809645,1961539,true,2,"sbs","eggs","2014-12-07T18:41:25.103Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f557f671a49094b48d0)
